Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared
120p,Traffic1,K3,A0.1_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.5\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7296,0.138,0.9245,0.8892,0.0058,0.9062,5
120p,Traffic1,K3,A0.1_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.5\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7419,0.142,0.9369,0.907,0.0042,0.9192,5
120p,Traffic1,K3,A0.1_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.7\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7271,0.138,0.9523,0.8677,0.0077,0.8609,5
120p,Traffic1,K3,A0.1_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.7\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7382,0.1425,0.9646,0.9044,0.0049,0.9077,5
120p,Traffic1,K3,A0.1_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.7\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7515,0.1472,0.9857,0.9245,0.0035,0.9403,5
120p,Traffic1,K3,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7252,0.1384,0.9517,0.8751,0.0068,0.8754,5
120p,Traffic1,K3,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7386,0.1426,0.9654,0.908,0.0043,0.9147,5
120p,Traffic1,K3,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7484,0.1465,0.9795,0.9286,0.0031,0.9403,5
120p,Traffic1,K4,A0.001_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K4\A0.001_\T0.5\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.6623,0.1115,0.7886,0.8196,0.0143,0.812,5
120p,Traffic1,K4,A0.001_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K4\A0.001_\T0.5\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.6755,0.1163,0.8134,0.8441,0.0116,0.8343,5
