Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic3,2,0.1,0.9,5,771679,374425
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic1,3,0.01,0.9,3,1113249,1091519
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic1,3,0.01,0.9,4,1113249,1034499
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic1,3,0.01,0.9,5,1113249,1032997
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic4,3,0.1,0.7,5,772620,268442
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic2,4,0.01,0.9,3,2314079,2249711
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic2,4,0.01,0.9,5,2314079,1940941
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic3,4,0.1,0.9,3,771679,402289
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic4,4,0.1,0.9,3,772620,305954
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic5,4,0.1,0.9,3,670191,482512
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic2,4,0.1,0.9,4,2314079,1291267
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic5,4,0.1,0.9,4,670191,429781
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic5,4,0.1,0.9,5,670191,430049
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic1,3,0.01,0.9,3,4026900,3965382
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic1,3,0.01,0.9,4,4026900,3893385
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic1,3,0.01,0.9,5,4026900,3855007
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic3,3,0.1,0.9,4,3734983,1679415
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic2,4,0.01,0.9,3,9326828,9255747
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic3,4,0.01,0.9,3,3734983,3454391
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic2,4,0.01,0.9,4,9326828,8647408
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic2,4,0.01,0.9,5,9326828,8518355
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic4,4,0.1,0.9,3,3603704,1566502
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic5,4,0.1,0.9,3,2681853,1935779
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic4,4,0.1,0.9,4,3603704,1161947
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic5,4,0.1,0.9,4,2681853,1661568
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic3,4,0.1,0.9,5,3734983,1661685
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic4,4,0.1,0.9,5,3603704,1166058
Best-OpenCV-Settings,Category-NA,False,30,240p,Traffic5,4,0.1,0.9,5,2681853,1669201
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic1,3,0.01,0.9,3,7708502,7452761
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic1,3,0.01,0.9,4,7708502,7337110
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic1,3,0.01,0.9,5,7708502,7252673
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic2,4,0.01,0.9,3,20680183,19499802
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic2,4,0.01,0.9,4,20680183,18382361
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic2,4,0.01,0.9,5,20680183,18057846
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic3,4,0.1,0.9,3,7806182,5454139
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic4,4,0.1,0.9,3,7204172,3430922
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic5,4,0.1,0.9,3,5196125,3820505
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic3,4,0.1,0.9,4,7806182,3435323
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic4,4,0.1,0.9,4,7204172,2417313
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic5,4,0.1,0.9,4,5196125,3261828
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic3,4,0.1,0.9,5,7806182,3459088
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic4,4,0.1,0.9,5,7204172,2427451
Best-OpenCV-Settings,Category-NA,False,30,360p,Traffic5,4,0.1,0.9,5,5196125,3282013
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic1,3,0.01,0.9,3,12242792,11430624
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic1,3,0.01,0.9,4,12242792,11273114
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic1,3,0.01,0.9,5,12242792,11130803
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic4,3,0.1,0.9,4,11127035,4002721
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic2,4,0.01,0.9,3,37820128,33152926
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic2,4,0.01,0.9,4,37820128,31277467
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic2,4,0.01,0.9,5,37820128,30624171
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic3,4,0.1,0.9,3,12558393,9541330
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic4,4,0.1,0.9,3,11127035,6127808
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic5,4,0.1,0.9,3,8120337,6056967
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic3,4,0.1,0.9,4,12558393,5812088
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic5,4,0.1,0.9,4,8120337,5128047
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic3,4,0.1,0.9,5,12558393,5880692
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic4,4,0.1,0.9,5,11127035,3901614
Best-OpenCV-Settings,Category-NA,False,30,480p,Traffic5,4,0.1,0.9,5,8120337,5155627
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic3,2,0.1,0.9,4,771679,341989
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic4,2,0.1,0.9,4,772620,236140
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic3,2,0.1,0.9,5,771679,341989
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic1,3,0.01,0.9,3,1113249,1022976
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic1,3,0.01,0.9,4,1113249,974941
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic1,3,0.01,0.9,5,1113249,984902
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic4,3,0.1,0.7,5,772620,236140
